"","ID","school","grade","age","sex","parents_educacion","familiy_influx","ses_auto","fruit","salud_auto","school_ses","school_kind","ses_auto_agrupado","familiy_influx_num","ses_auto_num","salud_num"
"1",1001,"PRIV-MEDIO","1",12,1,2,"alto",4,"no",4,"MEDIO","PRIV","Media",2,1,2
"2",1002,"PRIV-MEDIO","1",13,0,2,"alto",5,"no",4,"MEDIO","PRIV","Media",2,1,2
"3",1003,"PRIV-MEDIO","1",12,0,1,"bajo",5,"no",4,"MEDIO","PRIV","Media",0,1,2
"4",1004,"PRIV-MEDIO","1",13,0,2,"alto",8,"sí",4,"MEDIO","PRIV","Alta",2,2,2
"5",1005,"PRIV-MEDIO","1",13,1,1,"medio",7,"sí",5,"MEDIO","PRIV","Media",1,1,2
"6",1006,"PRIV-MEDIO","1",12,0,2,"alto",10,"sí",4,"MEDIO","PRIV","Alta",2,2,2
"7",1007,"PRIV-MEDIO","1",12,0,3,"alto",8,"no",3,"MEDIO","PRIV","Alta",2,2,1
"8",1008,"PRIV-MEDIO","1",13,0,3,"medio",10,"no",5,"MEDIO","PRIV","Alta",1,2,2
"9",1009,"PRIV-MEDIO","1",12,1,2,"medio",7,"no",2,"MEDIO","PRIV","Media",1,1,0
"10",1010,"PRIV-MEDIO","1",13,0,1,"bajo",4,"no",3,"MEDIO","PRIV","Media",0,1,1
"11",1011,"PRIV-MEDIO","1",12,0,2,"medio",5,"no",3,"MEDIO","PRIV","Media",1,1,1
"12",1012,"PRIV-MEDIO","1",12,0,2,"alto",7,"sí",3,"MEDIO","PRIV","Media",2,1,1
"13",1013,"PRIV-MEDIO","1",13,1,2,"medio",7,"no",4,"MEDIO","PRIV","Media",1,1,2
"14",1014,"PRIV-MEDIO","1",12,0,1,"medio",4,"no",3,"MEDIO","PRIV","Media",1,1,1
"15",1015,"PRIV-MEDIO","1",13,1,2,"medio",7,"no",2,"MEDIO","PRIV","Media",1,1,0
"16",1016,"PRIV-MEDIO","1",13,0,1,"medio",5,"no",3,"MEDIO","PRIV","Media",1,1,1
"17",1017,"PRIV-MEDIO","1",13,1,2,"bajo",7,"sí",4,"MEDIO","PRIV","Media",0,1,2
"18",1018,"PRIV-MEDIO","1",13,0,2,"alto",8,"sí",2,"MEDIO","PRIV","Alta",2,2,0
"19",1019,"PRIV-MEDIO","1",12,0,2,"medio",8,"no",4,"MEDIO","PRIV","Alta",1,2,2
"20",1020,"PRIV-MEDIO","1",12,1,2,"medio",7,"no",4,"MEDIO","PRIV","Media",1,1,2
"21",1021,"PRIV-MEDIO","1",12,0,2,"medio",9,"sí",3,"MEDIO","PRIV","Alta",1,2,1
"22",1022,"PRIV-MEDIO","1",13,0,0,"alto",8,"no",4,"MEDIO","PRIV","Alta",2,2,2
"23",1023,"PRIV-MEDIO","1",12,0,2,"medio",10,"sí",3,"MEDIO","PRIV","Alta",1,2,1
"24",1024,"PRIV-MEDIO","1",12,1,2,"medio",4,"no",4,"MEDIO","PRIV","Media",1,1,2
"25",1025,"PRIV-MEDIO","1",12,1,2,"medio",5,"sí",3,"MEDIO","PRIV","Media",1,1,1
"26",1026,"PRIV-MEDIO","1",12,1,1,"medio",5,"no",5,"MEDIO","PRIV","Media",1,1,2
"27",1027,"PRIV-MEDIO","1",13,1,2,"medio",8,"no",3,"MEDIO","PRIV","Alta",1,2,1
"28",1028,"PRIV-MEDIO","1",12,0,1,"medio",8,"no",3,"MEDIO","PRIV","Alta",1,2,1
"29",1029,"PRIV-MEDIO","1",12,0,2,"alto",8,"no",4,"MEDIO","PRIV","Alta",2,2,2
"30",1101,"PRIV-MEDIO","1",12,1,2,"medio",5,"no",3,"MEDIO","PRIV","Media",1,1,1
"31",1102,"PRIV-MEDIO","1",12,0,1,"bajo",7,"no",3,"MEDIO","PRIV","Media",0,1,1
"32",1103,"PRIV-MEDIO","1",12,0,2,"medio",5,"no",5,"MEDIO","PRIV","Media",1,1,2
"33",1104,"PRIV-MEDIO","1",12,1,2,"bajo",8,"no",4,"MEDIO","PRIV","Alta",0,2,2
"34",1105,"PRIV-MEDIO","1",13,1,0,"medio",7,"no",3,"MEDIO","PRIV","Media",1,1,1
"35",1106,"PRIV-MEDIO","1",13,0,1,"medio",7,"no",5,"MEDIO","PRIV","Media",1,1,2
"36",1107,"PRIV-MEDIO","1",12,0,1,"bajo",6,"no",5,"MEDIO","PRIV","Media",0,1,2
"37",1108,"PRIV-MEDIO","1",12,1,2,"alto",9,"no",3,"MEDIO","PRIV","Alta",2,2,1
"38",1109,"PRIV-MEDIO","1",12,1,2,"alto",7,"sí",4,"MEDIO","PRIV","Media",2,1,2
"39",1110,"PRIV-MEDIO","1",12,1,1,"medio",8,"no",3,"MEDIO","PRIV","Alta",1,2,1
"40",1111,"PRIV-MEDIO","1",12,0,3,"medio",4,"no",4,"MEDIO","PRIV","Media",1,1,2
"41",1112,"PRIV-MEDIO","1",12,0,2,"alto",5,"no",3,"MEDIO","PRIV","Media",2,1,1
"42",1113,"PRIV-MEDIO","1",12,0,2,"medio",6,"no",2,"MEDIO","PRIV","Media",1,1,0
"43",1114,"PRIV-MEDIO","1",12,0,3,"bajo",6,"no",4,"MEDIO","PRIV","Media",0,1,2
"44",1115,"PRIV-MEDIO","1",12,0,1,"medio",8,"no",3,"MEDIO","PRIV","Alta",1,2,1
"45",1116,"PRIV-MEDIO","1",14,1,1,"alto",5,"no",3,"MEDIO","PRIV","Media",2,1,1
"46",1117,"PRIV-MEDIO","1",12,1,1,"medio",8,"no",3,"MEDIO","PRIV","Alta",1,2,1
"47",1118,"PRIV-MEDIO","1",13,1,1,"bajo",8,"no",4,"MEDIO","PRIV","Alta",0,2,2
"48",1119,"PRIV-MEDIO","1",12,0,1,"bajo",3,"no",3,"MEDIO","PRIV","Baja",0,0,1
"49",1120,"PRIV-MEDIO","1",13,1,0,"medio",6,"no",4,"MEDIO","PRIV","Media",1,1,2
"50",1121,"PRIV-MEDIO","1",12,1,2,"medio",8,"no",4,"MEDIO","PRIV","Alta",1,2,2
"51",1122,"PRIV-MEDIO","1",12,1,2,"medio",6,"no",2,"MEDIO","PRIV","Media",1,1,0
"52",1123,"PRIV-MEDIO","1",12,0,1,"bajo",5,"no",4,"MEDIO","PRIV","Media",0,1,2
"53",1124,"PRIV-MEDIO","1",13,0,2,"alto",8,"no",3,"MEDIO","PRIV","Alta",2,2,1
"54",1125,"PRIV-MEDIO","1",12,0,2,"medio",5,"no",5,"MEDIO","PRIV","Media",1,1,2
"55",1126,"PRIV-MEDIO","1",12,0,1,"medio",5,"no",4,"MEDIO","PRIV","Media",1,1,2
"56",1127,"PRIV-MEDIO","1",12,0,2,"medio",6,"no",3,"MEDIO","PRIV","Media",1,1,1
"57",1128,"PRIV-MEDIO","1",12,0,1,"medio",8,"no",2,"MEDIO","PRIV","Alta",1,2,0
"58",1129,"PRIV-MEDIO","1",12,1,2,"alto",5,"sí",5,"MEDIO","PRIV","Media",2,1,2
"59",1130,"PRIV-MEDIO","1",12,1,2,"medio",4,"no",3,"MEDIO","PRIV","Media",1,1,1
"60",1131,"PRIV-MEDIO","1",12,1,1,"medio",6,"no",3,"MEDIO","PRIV","Media",1,1,1
"61",1201,"PRIV-MEDIO","2",13,1,0,"alto",7,"no",3,"MEDIO","PRIV","Media",2,1,1
"62",1202,"PRIV-MEDIO","2",13,0,1,"medio",5,"no",5,"MEDIO","PRIV","Media",1,1,2
"63",1203,"PRIV-MEDIO","2",13,1,2,"alto",6,"no",3,"MEDIO","PRIV","Media",2,1,1
"64",1204,"PRIV-MEDIO","2",13,1,2,"alto",8,"no",3,"MEDIO","PRIV","Alta",2,2,1
"65",1205,"PRIV-MEDIO","2",13,0,1,"alto",7,"no",4,"MEDIO","PRIV","Media",2,1,2
"66",1206,"PRIV-MEDIO","2",14,1,2,"alto",9,"no",4,"MEDIO","PRIV","Alta",2,2,2
"67",1207,"PRIV-MEDIO","2",13,0,2,"medio",6,"no",4,"MEDIO","PRIV","Media",1,1,2
"68",1208,"PRIV-MEDIO","2",13,0,2,"medio",7,"sí",4,"MEDIO","PRIV","Media",1,1,2
"69",1209,"PRIV-MEDIO","2",13,1,1,"medio",6,"no",4,"MEDIO","PRIV","Media",1,1,2
"70",1210,"PRIV-MEDIO","2",13,1,2,"medio",8,"no",5,"MEDIO","PRIV","Alta",1,2,2
"71",1211,"PRIV-MEDIO","2",13,0,1,"medio",5,"no",2,"MEDIO","PRIV","Media",1,1,0
"72",1212,"PRIV-MEDIO","2",13,1,1,"bajo",8,"no",4,"MEDIO","PRIV","Alta",0,2,2
"73",1213,"PRIV-MEDIO","2",13,0,0,"medio",7,"sí",3,"MEDIO","PRIV","Media",1,1,1
"74",1214,"PRIV-MEDIO","2",13,0,1,"medio",5,"no",3,"MEDIO","PRIV","Media",1,1,1
"75",1215,"PRIV-MEDIO","2",13,1,2,"alto",6,"no",4,"MEDIO","PRIV","Media",2,1,2
"76",1216,"PRIV-MEDIO","2",14,1,2,"medio",7,"no",2,"MEDIO","PRIV","Media",1,1,0
"77",1217,"PRIV-MEDIO","2",14,1,3,"medio",7,"sí",3,"MEDIO","PRIV","Media",1,1,1
"78",1218,"PRIV-MEDIO","2",13,0,1,"bajo",7,"no",3,"MEDIO","PRIV","Media",0,1,1
"79",1219,"PRIV-MEDIO","2",13,1,2,"medio",5,"sí",4,"MEDIO","PRIV","Media",1,1,2
"80",1220,"PRIV-MEDIO","2",14,1,1,"alto",7,"no",5,"MEDIO","PRIV","Media",2,1,2
"81",1221,"PRIV-MEDIO","2",13,1,2,"alto",5,"no",5,"MEDIO","PRIV","Media",2,1,2
"82",1222,"PRIV-MEDIO","2",13,0,2,"medio",7,"no",3,"MEDIO","PRIV","Media",1,1,1
"83",1223,"PRIV-MEDIO","2",14,0,3,"alto",7,"no",4,"MEDIO","PRIV","Media",2,1,2
"84",1224,"PRIV-MEDIO","2",13,0,2,"alto",8,"no",3,"MEDIO","PRIV","Alta",2,2,1
"85",1225,"PRIV-MEDIO","2",13,1,1,"alto",8,"no",5,"MEDIO","PRIV","Alta",2,2,2
"86",1226,"PRIV-MEDIO","2",13,1,1,"medio",6,"sí",5,"MEDIO","PRIV","Media",1,1,2
"87",1227,"PRIV-MEDIO","2",13,1,2,"bajo",7,"no",3,"MEDIO","PRIV","Media",0,1,1
"88",1301,"PRIV-MEDIO","2",14,0,3,"medio",6,"no",1,"MEDIO","PRIV","Media",1,1,0
"89",1302,"PRIV-MEDIO","2",13,2,0,"alto",9,"no",5,"MEDIO","PRIV","Alta",2,2,2
"90",1303,"PRIV-MEDIO","2",14,1,1,"bajo",6,"no",3,"MEDIO","PRIV","Media",0,1,1
"91",1304,"PRIV-MEDIO","2",14,0,1,"medio",6,"no",5,"MEDIO","PRIV","Media",1,1,2
