username,trial_number,trial_result
A0012005.0,1,1
A0012005.0,2,1
A0012005.0,3,1
A0012005.0,4,1
A0012005.0,5,1
A0012005.0,6,1
A0012005.0,7,1
A0012005.0,8,1
A0012005.0,9,1
A0012005.0,10,1
A0012005.0,11,0
A0012005.0,12,0
A0012005.0,13,1
A0012005.0,14,1
A0012005.0,15,1
A0012005.0,16,1
A0012005.0,17,1
A0012005.0,18,1
A0012005.0,19,1
A0012005.0,20,1
A0012005.0,21,1
A0012005.0,22,1
A0012005.0,23,0
A0012005.0,24,0
A0022005.0,1,1
A0022005.0,2,0
A0022005.0,3,1
A0022005.0,4,1
A0022005.0,5,1
A0022005.0,6,0
A0022005.0,7,0
A0022005.0,8,0
A0032005.0,1,0
A0032005.0,2,1
A0032005.0,3,1
A0032005.0,4,0
A0032005.0,5,0
A0032005.0,6,0
A0042005.0,1,1
A0042005.0,2,0
A0042005.0,3,0
A0042005.0,4,1
A0042005.0,5,1
A0042005.0,6,0
A0042005.0,7,1
A0042005.0,8,1
A0042005.0,9,0
A0042005.0,10,1
A0042005.0,11,0
A0042005.0,12,0
A0042005.0,13,0
A0052005.0,1,1
A0052005.0,2,0
A0052005.0,3,0
A0052005.0,4,0
A0052005.0,5,1
A0052005.0,6,1
A0052005.0,7,0
A0052005.0,8,0
A0052005.0,9,1
A0062005.0,1,1
A0062005.0,2,0
A0062005.0,3,1
A0062005.0,4,1
A0062005.0,5,1
A0062005.0,6,0
A0062005.0,7,0
A0072005.0,1,1
A0072005.0,2,0
A0072005.0,3,1
A0072005.0,4,0
A0072005.0,5,1
A0072005.0,6,1
A0072005.0,7,0
A0072005.0,8,1
A0072005.0,9,0
A0102005.0,1,1
A0102005.0,2,1
A0102005.0,3,1
A0102005.0,4,1
A0102005.0,5,1
A0102005.0,6,1
A0102005.0,7,1
A0102005.0,8,1
A0102005.0,9,1
A0102005.0,10,1
A0102005.0,11,1
A0102005.0,12,1
A0102005.0,13,0
A0102005.0,14,1
A0102005.0,15,1
A0102005.0,16,1
A0102005.0,17,1
A0102005.0,18,1
A0102005.0,19,1
A0102005.0,20,1
A0102005.0,21,1
A0102005.0,22,1
A0102005.0,23,1
A0102005.0,24,1
A0102005.0,25,1
A0102005.0,26,1
A0102005.0,27,1
A0102005.0,28,1
A0102005.0,29,1
A0122005.0,1,1
A0122005.0,2,1
A0122005.0,3,1
A0122005.0,4,1
A0122005.0,5,1
A0122005.0,6,0
A0122005.0,7,0
A0122005.0,8,0
A0142005.0,1,1
A0142005.0,2,1
A0142005.0,3,1
A0142005.0,4,1
A0142005.0,5,1
A0142005.0,6,0
A0142005.0,7,1
A0142005.0,8,1
A0142005.0,9,1
A0142005.0,10,0
A0142005.0,11,0
A0142005.0,12,1
A0142005.0,13,0
A0142005.0,14,0
A0142005.0,15,0
A0172005.0,1,1
A0172005.0,2,1
A0172005.0,3,1
A0172005.0,4,1
A0172005.0,5,1
A0172005.0,6,1
A0172005.0,7,1
A0172005.0,8,1
A0172005.0,9,1
A0172005.0,10,1
A0172005.0,11,1
A0172005.0,12,0
A0172005.0,13,1
A0172005.0,14,1
A0172005.0,15,1
A0172005.0,16,1
A0172005.0,17,1
A0172005.0,18,0
A0172005.0,19,1
A0172005.0,20,1
A0192005.0,1,1
A0192005.0,2,1
A0192005.0,3,1
A0192005.0,4,1
A0192005.0,5,1
A0192005.0,6,1
A0192005.0,7,1
A0192005.0,8,1
A0192005.0,9,1
A0192005.0,10,0
A0192005.0,11,1
A0192005.0,12,1
A0192005.0,13,0
A0192005.0,14,0
A0192005.0,15,1
A0202005.0,1,1
A0202005.0,2,1
A0202005.0,3,1
A0202005.0,4,1
A0202005.0,5,1
A0202005.0,6,1
A0202005.0,7,1
A0202005.0,8,1
A0202005.0,9,1
A0202005.0,10,1
A0202005.0,11,1
A0202005.0,12,1
A0202005.0,13,1
A0202005.0,14,1
A0202005.0,15,1
A0202005.0,16,1
A0202005.0,17,0
A0202005.0,18,1
A0212005.0,1,1
A0212005.0,2,1
A0212005.0,3,1
A0212005.0,4,1
A0212005.0,5,1
A0212005.0,6,0
A0212005.0,7,0
A0212005.0,8,1
A0212005.0,9,1
A0212005.0,10,1
A0212005.0,11,1
A0212005.0,12,0
A0212005.0,13,1
A0212005.0,14,0
