"ID","School","Teacher","ChildAge","Gender","Ethnic","BA","LC","DLS","FS"
8006,80,41,3.19,1,1,8,4,2,3
6533,65,34,4.11,1,1,0,0,0,0
3210,32,15,4.06,1,0,0,2,0,2
92408,924,73,4.06,1,1,5,0,0,0
3204,32,15,3.6,1,1,0,0,0,1
99609,996,79,3.4,1,0,4,0,0,0
91248,912,68,3.39,1,1,0,0,0,0
7288,7006,87,4.47,1,0,0,0,0,2
5131,51,25,3.77,1,0,0,2,1,0
324,3,1,3.72,1,1,2,2,0,1
91243,912,68,3.71,1,0,0,0,0,0
99616,996,79,3.64,1,0,1,0,1,0
93207,932,75,3.57,1,1,5,4,0,1
91244,912,68,3.56,1,1,5,3,1,1
99810,998,81,3.56,1,0,0,0,0,0
99601,996,79,3.55,1,0,4,0,2,0
7043,7002,84,4.97,1,1,0,0,0,0
11211,112,56,4.91,1,1,3,1,1,4
7293,7006,87,4.91,1,0,0,3,0,3
7168,7004,86,4.79,1,1,0,0,0,0
99715,997,80,4.31,1,0,0,0,0,0
99819,998,81,4.12,1,0,1,0,0,2
5134,51,25,3.92,1,0,5,5,3,4
11210,112,56,4.8,1,1,1,2,2,5
5345,53,27,3.48,0,NA,0,0,0,0
93222,932,75,3.48,0,1,0,1,0,1
99904,999,82,3.47,0,1,1,0,1,1
3201,32,15,3.45,0,1,0,2,0,0
403644,36,18,3.43,0,0,8,3,2,4
91239,912,68,3.42,0,0,0,0,1,0
90222,902,66,3.41,0,0,0,0,0,0
5716,57,30,3.4,0,1,6,2,3,0
5318,53,27,3.39,0,1,4,0,0,0
5719,57,30,3.37,0,1,0,0,0,0
92406,924,73,3.36,0,1,4,0,1,0
99906,999,82,3.35,0,0,1,1,0,0
92404,924,73,3.34,0,0,1,0,0,0
99903,999,82,3.34,0,0,0,0,1,0
3303,33,16,3.33,0,1,2,3,2,0
3303,33,16,3.33,0,1,2,3,2,0
491242,912,68,3.33,0,1,6,5,3,2
99914,999,82,3.33,0,1,3,0,1,0
3217,32,15,3.32,0,1,4,4,0,1
5703,57,30,3.32,0,1,3,2,0,0
91010,910,67,3.32,0,1,1,0,0,0
99901,999,82,3.32,0,0,7,5,4,2
6532,65,34,3.31,0,1,0,2,0,0
92016,920,70,3.3,0,0,6,1,0,1
5316,53,27,3.27,0,1,12,5,4,3
91914,919,69,3.26,0,1,0,0,0,0
99909,999,82,3.26,0,0,3,4,1,2
92423,924,73,3.24,0,1,7,4,0,1
99912,999,82,3.24,0,0,3,3,4,5
99911,999,82,3.2,0,0,1,0,0,0
8007,80,41,3.19,0,1,5,4,0,2
92005,920,70,3.18,0,1,1,4,1,1
90232,902,66,3.17,0,1,7,1,1,2
92414,924,73,3.15,0,1,1,2,0,0
91001,910,67,3.14,0,1,1,0,0,0
92007,920,70,3.14,0,1,2,5,1,1
92424,924,73,3.12,0,0,2,3,0,0
92405,924,73,3.08,0,1,4,3,0,0
93226,932,75,3.08,0,1,0,0,0,1
190,68.5,35,4.49,0,1,3,1,3,3
188,68.5,35,4.46,0,NA,1,1,1,3
195,68.5,35,4.42,0,1,3,3,5,2
373,79,39,4.31,0,1,9,1,1,1
410115,10,6,4.27,0,0,10,3,3,1
3306,33,16,4.16,0,1,11,4,5,1
3306,33,16,4.16,0,1,11,4,5,1
5349,53,27,4.16,0,0,0,0,0,0
91002,910,67,4.13,0,1,1,0,0,0
491917,919,69,4.12,0,1,7,2,3,0
5346,53,27,4.08,0,1,0,0,0,0
6541,65,34,4.08,0,1,1,0,0,1
5712,57,30,4.05,0,1,2,1,0,0
92418,924,73,4.05,0,1,0,0,0,0
8001,80,41,4.04,0,1,4,3,0,1
5709,57,30,4.02,0,1,4,2,0,0
93217,932,75,4.02,0,1,0,2,0,1
90219,902,66,4,0,1,0,0,0,0
12407,124,57,3.99,0,1,0,2,1,0
6535,65,34,3.96,0,1,0,1,0,1
92004,920,70,3.95,0,1,0,0,0,0
92705,927,74,3.95,0,1,0,0,0,1
5705,57,30,3.94,0,1,3,0,2,1
3202,32,15,3.92,0,1,5,4,5,3
92011,920,70,3.92,0,1,0,0,1,0
5303,53,27,3.91,0,1,0,0,0,0
92407,924,73,3.91,0,1,0,0,0,0
408002,80,41,3.87,0,1,4,5,0,2
3207,32,15,3.86,0,1,0,1,1,1
5704,57,30,3.85,0,1,1,3,0,2
6534,65,34,3.85,0,1,0,2,0,0
6545,65,34,3.85,0,1,0,0,1,0
92014,920,70,3.84,0,1,0,2,0,0
92409,924,73,3.84,0,1,0,0,0,0
92413,924,73,3.84,0,0,0,1,0,1
91011,910,67,3.82,0,0,1,0,1,0
5702,57,30,3.81,0,1,3,1,0,2
92422,924,73,3.8,0,1,0,1,0,0
5706,57,30,3.79,0,1,6,0,3,5
8009,80,41,3.79,0,1,2,1,1,0
5708,57,30,3.78,0,1,1,1,1,1
99907,999,82,3.78,0,0,0,0,0,0
5713,57,30,3.75,0,1,3,1,1,1
6542,65,34,3.73,0,1,0,2,1,0
92009,920,70,3.73,0,1,0,2,0,2
3212,32,15,3.71,0,1,0,4,1,3
5715,57,30,3.69,0,1,9,3,2,0
93220,932,75,3.69,0,1,6,0,1,1
3304,33,16,3.67,0,1,2,1,0,1
3304,33,16,3.67,0,1,2,1,0,1
99913,999,82,3.67,0,0,3,1,2,0
6543,65,34,3.66,0,1,2,1,1,1
92706,927,74,3.66,0,1,1,0,1,4
6544,65,34,3.65,0,1,7,5,3,1
91009,910,67,3.59,0,1,5,0,0,0
92410,924,73,3.58,0,1,2,1,1,0
92420,924,73,3.58,0,1,0,2,0,2
3211,32,15,3.56,0,1,2,2,1,0
3618,36,18,5.37,0,0,0,0,0,0
189,68.5,35,5.25,0,1,0,0,0,0
7214,7005,87,5.18,0,1,0,0,0,0
7038,7002,84,5.13,0,1,0,0,0,0
185,68.5,35,5.07,0,1,4,0,1,2
7221,7005,87,5.05,0,0,0,1,2,0
372,79,39,4.97,0,1,0,0,0,0
7218,7005,87,4.92,0,1,0,0,0,0
7210,7005,87,4.88,0,0,0,0,1,1
7233,7005,87,4.87,0,0,0,0,0,0
7212,7005,87,4.84,0,1,0,0,0,0
7092,7003,85,4.81,0,0,3,0,1,1
7235,7005,87,4.59,0,1,1,0,0,2
93212,932,75,3.49,0,1,1,0,1,0
5339,53,27,3.48,0,1,4,0,0,0
5341,53,27,3.47,0,1,4,0,0,0
5628,56,29,3.47,0,1,3,4,2,2
8269,82,44,3.47,0,1,4,1,0,0
490219,90,49,3.47,0,0,4,5,4,3
90205,902,66,3.47,0,1,0,0,0,0
91233,912,68,3.47,0,1,0,0,2,0
327,3,1,3.46,0,1,3,2,0,0
5612,56,29,3.46,0,1,0,0,0,0
8246,82,44,3.46,0,1,0,1,0,1
99615,996,79,3.46,0,0,4,0,1,0
99618,996,79,3.45,0,0,1,1,1,0
5157,51,25,3.44,0,1,0,1,0,0
5162,51,25,3.44,0,0,0,4,1,1
5307,53,27,3.44,0,1,0,0,0,0
6202,62,33,3.44,0,1,3,0,1,0
5144,51,25,3.42,0,1,0,3,0,1
99607,996,79,3.42,0,0,3,1,0,0
403633,36,18,3.41,0,0,2,5,2,2
8256,82,44,3.41,0,0,1,5,1,1
9608,96,53,3.41,0,1,0,0,0,0
90210,902,66,3.41,0,1,3,1,3,1
91231,912,68,3.41,0,1,0,0,0,0
91903,919,69,3.41,0,1,0,2,0,0
91205,912,68,3.39,0,1,0,0,0,0
91217,912,68,3.39,0,0,0,1,0,0
3631,36,18,3.38,0,0,1,4,0,2
8250,82,44,3.38,0,0,1,0,0,0
8265,82,44,3.38,0,0,3,6,2,2
91222,912,68,3.38,0,1,0,1,0,0
91232,912,68,3.38,0,1,0,0,1,0
91906,919,69,3.38,0,1,0,1,0,0
339,3,1,3.36,0,1,1,3,0,0
808,8,3,3.36,0,0,3,3,3,2
91204,912,68,3.36,0,1,2,0,0,0
9610,96,53,3.35,0,1,0,0,0,0
93210,932,75,3.35,0,1,1,1,0,1
5629,56,29,3.34,0,1,4,3,2,0
91229,912,68,3.34,0,1,0,0,1,0
802,8,3,3.33,0,1,5,2,2,0
3632,36,18,3.33,0,0,0,0,1,2
314,3,1,3.32,0,1,10,3,4,1
12427,124,57,3.32,0,1,12,2,5,1
823,8,3,3.3,0,0,7,1,3,0
4710,47,23,3.3,0,1,1,1,0,1
4710,47,23,3.3,0,1,1,1,0,1
333,3,1,3.28,0,1,0,1,0,0
8241,82,44,3.28,0,1,3,4,2,1
12411,124,57,3.28,0,1,0,2,1,1
4703,47,23,3.27,0,1,0,0,0,0
4703,47,23,3.27,0,1,0,0,0,0
5626,56,29,3.27,0,1,4,1,1,1
90207,902,66,3.27,0,0,0,0,0,0
4519,45,22,3.26,0,1,2,1,2,0
5331,53,27,3.26,0,1,0,2,0,0
5617,56,29,3.26,0,1,0,0,0,0
93213,932,75,3.26,0,1,5,0,1,0
5325,53,27,3.25,0,1,4,3,2,1
91203,912,68,3.25,0,1,1,1,0,0
6201,62,33,3.24,0,1,0,0,1,0
12428,124,57,3.24,0,1,8,4,0,0
91202,912,68,3.24,0,1,0,0,0,0
