"ID","School","BA","DLS","Ethnic","FS","Gender","LC","comb_name","row_name"
1,"9-4",0,0,1,0,0,0,0,1
2,"9-4",2,0,1,0,0,0,54,2
3,"9-4",0,0,1,0,1,0,0,3
4,"9-4",0,0,1,0,0,0,0,4
5,"9-4",0,0,1,0,0,0,0,5
6,"9-4",2,2,1,2,1,0,78,6
7,"9-4",2,1,0,0,1,0,63,7
8,"9-4",2,1,1,0,1,1,64,8
10,"9-4",2,1,1,0,0,1,64,9
11,"9.5-5",0,0,1,0,0,0,0,10
12,"9.5-5",0,0,1,0,0,0,0,11
13,"9.5-5",0,0,1,0,1,0,0,12
14,"9.5-5",1,1,1,2,1,2,44,13
15,"9.5-5",0,0,1,0,1,0,0,14
16,"9.5-5",1,1,1,2,1,2,44,15
17,"9.5-5",0,0,1,0,0,0,0,16
18,"9.5-5",0,0,1,0,1,0,0,17
19,"9.5-5",0,0,1,0,0,0,0,18
20,"9.5-5",0,0,1,0,0,0,0,19
21,"9.5-5",0,0,1,0,0,0,0,20
22,"12-7",0,0,1,0,1,0,0,21
23,"12-7",0,0,1,1,0,0,3,22
24,"12-7",0,0,1,0,1,0,0,23
25,"12-7",0,0,1,0,1,0,0,24
26,"12-7",0,1,1,1,1,2,14,25
27,"12-7",1,2,1,0,0,1,46,26
28,"12-7",0,0,1,1,0,0,3,27
29,"12-7",2,1,1,2,1,1,70,28
30,"12-7",0,1,1,0,0,0,9,29
31,"12-7",0,0,1,0,0,0,0,30
32,"12-7",0,0,1,1,1,0,3,31
33,"12-7",1,1,1,0,0,0,36,32
34,"12-7",1,2,1,2,0,2,53,33
35,"12-7",1,1,1,1,0,2,41,34
37,"12-7",2,1,1,1,1,0,66,35
38,"12-7",0,1,1,1,1,1,13,36
39,"12-7",0,0,1,0,1,0,0,37
40,"12-7",0,0,1,0,0,0,0,38
41,"12-7",2,2,1,1,1,1,76,39
42,"12-7",1,1,1,0,0,1,37,40
43,"12-7",0,0,1,0,0,0,0,41
44,"12-7",0,1,1,0,1,0,9,42
45,"12-7",0,0,1,0,1,0,0,43
46,"12-7",0,0,1,1,0,0,3,44
47,"12-7",2,2,1,2,1,2,80,45
48,"12-7",0,0,1,0,0,0,0,46
49,"12-7",0,0,1,0,0,0,0,47
50,"19-9",0,0,1,1,0,0,3,48
51,"19-9",1,0,1,1,0,0,30,49
52,"19-9",1,1,1,2,0,0,42,50
53,"19-9",1,0,1,1,0,1,31,51
54,"19-9",0,0,0,0,0,0,0,52
55,"19-9",1,1,1,1,0,0,39,53
56,"19-9",0,0,1,1,0,0,3,54
57,"19-9",0,0,1,1,0,0,3,55
59,"19-9",0,0,1,1,0,0,3,56
60,"19-9",1,1,1,0,0,1,37,57
61,"19-9",0,0,1,1,0,0,3,58
62,"19-9",0,0,1,0,0,1,1,59
64,"19-9",0,1,1,0,0,0,9,60
65,"19-9",1,1,1,0,1,0,36,61
66,"19-9",0,0,1,0,1,0,0,62
67,"19-9",2,2,1,2,1,1,79,63
68,"19-9",0,0,1,0,1,0,0,64
69,"19-9",0,1,1,1,1,0,12,65
70,"19-9",1,1,1,1,1,0,39,66
71,"19-9",1,0,0,1,1,0,30,67
73,"22-11",0,0,1,1,1,0,3,68
74,"22-11",2,1,1,0,1,0,63,69
75,"22-11",0,0,1,0,1,0,0,70
76,"22-11",0,0,1,0,1,1,1,71
77,"22-11",0,0,1,1,1,1,4,72
78,"22-11",1,0,1,0,1,1,28,73
79,"22-11",1,1,1,1,0,2,41,74
81,"22-11",2,0,1,1,1,1,58,75
82,"22-11",1,0,1,2,0,1,34,76
83,"22-11",0,0,0,1,1,0,3,77
84,"22-11",0,0,1,0,0,0,0,78
85,"22-11",1,0,1,0,1,2,29,79
86,"22.5-12",2,2,1,1,1,2,77,80
87,"22.5-12",2,2,1,1,0,2,77,81
88,"22.5-12",2,0,1,1,1,1,58,82
89,"22.5-12",1,1,1,1,1,2,41,83
91,"22.5-12",0,0,1,0,1,2,2,84
92,"22.5-12",0,1,1,2,0,1,16,85
93,"22.5-12",0,1,1,1,0,1,13,86
94,"22.5-12",1,2,1,1,1,2,50,87
95,"22.5-12",0,1,1,1,0,2,14,88
96,"22.5-12",0,1,1,0,1,1,10,89
97,"22.5-12",2,2,1,2,1,2,80,90
98,"22.5-12",2,1,1,0,0,0,63,91
99,"22.5-12",2,2,1,2,1,2,80,92
100,"333-59",0,1,1,1,1,0,12,93
101,"333-59",1,2,1,1,1,2,50,94
102,"333-59",0,0,1,1,0,1,4,95
103,"333-59",0,1,1,2,0,2,17,96
104,"333-59",0,1,1,2,1,2,17,97
105,"333-59",0,1,1,1,0,2,14,98
106,"333-59",1,1,0,1,1,0,39,99
107,"333-59",1,1,1,1,1,0,39,100
108,"333-59",0,2,1,2,1,2,26,101
109,"333-59",0,1,1,2,0,2,17,102
110,"333-59",0,0,1,0,1,0,0,103
111,"333-59",0,1,1,1,1,2,14,104
112,"333-59",1,1,1,1,0,2,41,105
113,"530-62",0,0,1,0,1,0,0,106
114,"530-62",0,0,1,0,0,0,0,107
115,"530-62",0,0,1,0,0,0,0,108
116,"530-62",1,1,1,1,1,0,39,109
117,"530-62",0,0,1,0,0,0,0,110
118,"530-62",0,0,1,0,1,0,0,111
119,"530-62",0,0,1,0,1,0,0,112
120,"530-62",0,0,1,0,0,0,0,113
121,"530-62",0,0,1,1,1,0,3,114
122,"530-62",0,0,1,1,1,1,4,115
123,"530-62",0,0,1,0,1,0,0,116
125,"530-62",0,0,1,1,1,0,3,117
126,"530-62",0,0,1,1,1,0,3,118
127,"53.5-28",0,0,1,0,1,0,0,119
128,"53.5-28",1,1,1,1,0,1,40,120
129,"53.5-28",0,0,1,0,0,0,0,121
