username,trial_number,trial_result
A0012005.0,1,1
A0012005.0,2,1
A0012005.0,3,1
A0012005.0,4,1
A0012005.0,5,1
A0012005.0,6,1
A0012005.0,7,1
A0012005.0,8,1
A0012005.0,9,1
A0012005.0,10,1
A0022005.0,1,1
A0022005.0,2,0
A0022005.0,3,1
A0022005.0,4,1
A0022005.0,5,1
A0022005.0,6,0
A0022005.0,7,0
A0022005.0,8,0
A0032005.0,1,0
A0032005.0,2,1
A0032005.0,3,1
A0032005.0,4,0
A0032005.0,5,0
A0032005.0,6,0
A0042005.0,1,1
A0042005.0,2,0
A0042005.0,3,0
A0042005.0,4,1
A0042005.0,5,1
A0042005.0,6,0
A0042005.0,7,1
A0042005.0,8,1
A0042005.0,9,0
A0042005.0,10,1
A0052005.0,1,1
A0052005.0,2,0
A0052005.0,3,0
A0052005.0,4,0
A0052005.0,5,1
A0052005.0,6,1
A0052005.0,7,0
A0052005.0,8,0
A0052005.0,9,1
A0062005.0,1,1
A0062005.0,2,0
A0062005.0,3,1
A0062005.0,4,1
A0062005.0,5,1
A0062005.0,6,0
A0062005.0,7,0
A0072005.0,1,1
A0072005.0,2,0
A0072005.0,3,1
A0072005.0,4,0
A0072005.0,5,1
A0072005.0,6,1
A0072005.0,7,0
A0072005.0,8,1
A0072005.0,9,0
A0102005.0,1,1
A0102005.0,2,1
A0102005.0,3,1
A0102005.0,4,1
A0102005.0,5,1
A0102005.0,6,1
A0102005.0,7,1
A0102005.0,8,1
A0102005.0,9,1
A0102005.0,10,1
A0122005.0,1,1
A0122005.0,2,1
A0122005.0,3,1
A0122005.0,4,1
A0122005.0,5,1
A0122005.0,6,0
A0122005.0,7,0
A0122005.0,8,0
A0142005.0,1,1
A0142005.0,2,1
A0142005.0,3,1
A0142005.0,4,1
A0142005.0,5,1
A0142005.0,6,0
A0142005.0,7,1
A0142005.0,8,1
A0142005.0,9,1
A0142005.0,10,0
A0172005.0,1,1
A0172005.0,2,1
A0172005.0,3,1
A0172005.0,4,1
A0172005.0,5,1
A0172005.0,6,1
A0172005.0,7,1
A0172005.0,8,1
A0172005.0,9,1
A0172005.0,10,1
A0192005.0,1,1
A0192005.0,2,1
A0192005.0,3,1
A0192005.0,4,1
A0192005.0,5,1
A0192005.0,6,1
A0192005.0,7,1
A0192005.0,8,1
A0192005.0,9,1
A0192005.0,10,0
A0202005.0,1,1
A0202005.0,2,1
A0202005.0,3,1
A0202005.0,4,1
A0202005.0,5,1
A0202005.0,6,1
A0202005.0,7,1
A0202005.0,8,1
A0202005.0,9,1
A0202005.0,10,1
A0212005.0,1,1
A0212005.0,2,1
A0212005.0,3,1
A0212005.0,4,1
A0212005.0,5,1
A0212005.0,6,0
A0212005.0,7,0
A0212005.0,8,1
A0212005.0,9,1
A0212005.0,10,1
A0212005.0,11,1
