Source,Target,Distance,num_paths,initial_config,final_config,path,search_depth,chunks,vals_str
00,01,6,2,Partial,Partial,"[[0, 15, 11, 22, 28, 17, 1], [0, 15, 26, 20, 9, 17, 1]]",NA,NA,NA
00,02,5,2,Partial,Partial,"[[0, 6, 27, 21, 8, 2], [0, 6, 19, 25, 8, 2]]",NA,NA,NA
00,03,5,1,Partial,Partial,"[[0, 15, 26, 20, 9, 3]]",3,1,SSGGG
00,04,5,1,Partial,Partial,"[[0, 6, 19, 25, 12, 4]]",3,1,SSGGG
00,05,3,2,Partial,Partial,"[[0, 15, 11, 5], [0, 6, 14, 5]]",NA,NA,NA
00,06,1,1,Partial,Flat,"[[0, 6]]",1,0,G
00,07,7,3,Partial,Flat,"[[0, 15, 11, 22, 28, 17, 1, 7], [0, 15, 26, 20, 9, 17, 1, 7], [0, 15, 26, 20, 9, 3, 16, 7]]",NA,NA,NA
00,08,4,2,Partial,Flat,"[[0, 6, 27, 21, 8], [0, 6, 19, 25, 8]]",NA,NA,NA
00,09,4,1,Partial,Flat,"[[0, 15, 26, 20, 9]]",1,1,GSGG
00,10,6,1,Partial,Flat,"[[0, 6, 19, 25, 12, 4, 10]]",3,2,SSGSGG
00,11,2,1,Partial,Flat,"[[0, 15, 11]]",1,0,GG
00,12,4,1,Partial,Partial,"[[0, 6, 19, 25, 12]]",1,1,GSGG
00,13,6,2,Partial,Partial,"[[0, 6, 27, 21, 8, 2, 13], [0, 6, 19, 25, 8, 2, 13]]",NA,NA,NA
00,14,2,1,Partial,Partial,"[[0, 6, 14]]",1,0,GG
00,15,1,1,Partial,Partial,"[[0, 15]]",1,0,G
00,16,6,1,Partial,Partial,"[[0, 15, 26, 20, 9, 3, 16]]",4,1,SSSGGG
00,17,5,2,Partial,Partial,"[[0, 15, 11, 22, 28, 17], [0, 15, 26, 20, 9, 17]]",NA,NA,NA
00,18,8,6,Partial,Partial,"[[0, 15, 11, 22, 28, 17, 1, 7, 18], [0, 15, 26, 20, 9, 17, 1, 7, 18], [0, 15, 26, 20, 9, 3, 16, 7, 18], [0, 6, 27, 21, 8, 2, 13, 24, 18], [0, 6, 19, 25, 8, 2, 13, 24, 18], [0, 6, 19, 25, 12, 4, 10, 24, 18]]",NA,NA,NA
00,19,2,1,Partial,Partial,"[[0, 6, 19]]",1,0,GG
00,20,3,1,Partial,Partial,"[[0, 15, 26, 20]]",1,0,GGG
00,21,3,1,Partial,Partial,"[[0, 6, 27, 21]]",1,0,GGG
00,22,3,1,Partial,Partial,"[[0, 15, 11, 22]]",1,0,GGG
00,23,7,1,Partial,Partial,"[[0, 6, 19, 25, 12, 4, 10, 23]]",5,1,SSSSGGG
00,24,7,3,Partial,Partial,"[[0, 6, 27, 21, 8, 2, 13, 24], [0, 6, 19, 25, 8, 2, 13, 24], [0, 6, 19, 25, 12, 4, 10, 24]]",NA,NA,NA
00,25,3,1,Partial,Partial,"[[0, 6, 19, 25]]",1,0,GGG
00,26,2,1,Partial,Partial,"[[0, 15, 26]]",1,0,GG
00,27,2,1,Partial,Partial,"[[0, 6, 27]]",1,0,GG
00,28,4,1,Partial,Partial,"[[0, 15, 11, 22, 28]]",1,1,GSGG
00,29,7,1,Partial,Partial,"[[0, 15, 26, 20, 9, 3, 16, 29]]",4,2,SSSGSGG
00,30,4,1,Partial,Tower,"[[0, 15, 11, 22, 30]]",1,1,GSGG
00,31,3,1,Partial,Tower,"[[0, 15, 26, 31]]",1,0,GGG
00,32,8,2,Partial,Tower,"[[0, 15, 26, 20, 9, 3, 16, 29, 32], [0, 6, 19, 25, 12, 4, 10, 23, 32]]",NA,NA,NA
00,33,8,3,Partial,Tower,"[[0, 6, 27, 21, 8, 2, 13, 24, 33], [0, 6, 19, 25, 8, 2, 13, 24, 33], [0, 6, 19, 25, 12, 4, 10, 24, 33]]",NA,NA,NA
00,34,3,1,Partial,Tower,"[[0, 6, 27, 34]]",1,0,GGG
00,35,3,1,Partial,Tower,"[[0, 6, 19, 35]]",1,0,GGG
01,00,6,2,Partial,Partial,"[[1, 17, 9, 20, 26, 15, 0], [1, 17, 28, 22, 11, 15, 0]]",NA,NA,NA
01,02,5,1,Partial,Partial,"[[1, 7, 18, 24, 13, 2]]",3,1,SSGGG
01,03,3,2,Partial,Partial,"[[1, 17, 9, 3], [1, 7, 16, 3]]",NA,NA,NA
01,04,5,2,Partial,Partial,"[[1, 7, 29, 23, 10, 4], [1, 7, 18, 24, 10, 4]]",NA,NA,NA
01,05,5,1,Partial,Partial,"[[1, 17, 28, 22, 11, 5]]",3,1,SSGGG
01,06,7,3,Partial,Flat,"[[1, 17, 9, 20, 26, 15, 0, 6], [1, 17, 28, 22, 11, 15, 0, 6], [1, 17, 28, 22, 11, 5, 14, 6]]",NA,NA,NA
01,07,1,1,Partial,Flat,"[[1, 7]]",1,0,G
01,08,6,1,Partial,Flat,"[[1, 7, 18, 24, 13, 2, 8]]",3,2,SSGSGG
01,09,2,1,Partial,Flat,"[[1, 17, 9]]",1,0,GG
01,10,4,2,Partial,Flat,"[[1, 7, 29, 23, 10], [1, 7, 18, 24, 10]]",NA,NA,NA
01,11,4,1,Partial,Flat,"[[1, 17, 28, 22, 11]]",1,1,GSGG
01,12,6,2,Partial,Partial,"[[1, 7, 29, 23, 10, 4, 12], [1, 7, 18, 24, 10, 4, 12]]",NA,NA,NA
01,13,4,1,Partial,Partial,"[[1, 7, 18, 24, 13]]",1,1,GSGG
01,14,6,1,Partial,Partial,"[[1, 17, 28, 22, 11, 5, 14]]",4,1,SSSGGG
01,15,5,2,Partial,Partial,"[[1, 17, 9, 20, 26, 15], [1, 17, 28, 22, 11, 15]]",NA,NA,NA
01,16,2,1,Partial,Partial,"[[1, 7, 16]]",1,0,GG
01,17,1,1,Partial,Partial,"[[1, 17]]",1,0,G
01,18,2,1,Partial,Partial,"[[1, 7, 18]]",1,0,GG
01,19,8,6,Partial,Partial,"[[1, 17, 9, 20, 26, 15, 0, 6, 19], [1, 17, 28, 22, 11, 15, 0, 6, 19], [1, 17, 28, 22, 11, 5, 14, 6, 19], [1, 7, 29, 23, 10, 4, 12, 25, 19], [1, 7, 18, 24, 10, 4, 12, 25, 19], [1, 7, 18, 24, 13, 2, 8, 25, 19]]",NA,NA,NA
01,20,3,1,Partial,Partial,"[[1, 17, 9, 20]]",1,0,GGG
01,21,7,1,Partial,Partial,"[[1, 7, 18, 24, 13, 2, 8, 21]]",5,1,SSSSGGG
01,22,3,1,Partial,Partial,"[[1, 17, 28, 22]]",1,0,GGG
01,23,3,1,Partial,Partial,"[[1, 7, 29, 23]]",1,0,GGG
01,24,3,1,Partial,Partial,"[[1, 7, 18, 24]]",1,0,GGG
01,25,7,3,Partial,Partial,"[[1, 7, 29, 23, 10, 4, 12, 25], [1, 7, 18, 24, 10, 4, 12, 25], [1, 7, 18, 24, 13, 2, 8, 25]]",NA,NA,NA
01,26,4,1,Partial,Partial,"[[1, 17, 9, 20, 26]]",1,1,GSGG
01,27,7,1,Partial,Partial,"[[1, 17, 28, 22, 11, 5, 14, 27]]",4,2,SSSGSGG
01,28,2,1,Partial,Partial,"[[1, 17, 28]]",1,0,GG
01,29,2,1,Partial,Partial,"[[1, 7, 29]]",1,0,GG
01,30,3,1,Partial,Tower,"[[1, 17, 28, 30]]",1,0,GGG
01,31,4,1,Partial,Tower,"[[1, 17, 9, 20, 31]]",1,1,GSGG
01,32,3,1,Partial,Tower,"[[1, 7, 29, 32]]",1,0,GGG
01,33,3,1,Partial,Tower,"[[1, 7, 18, 33]]",1,0,GGG
01,34,8,2,Partial,Tower,"[[1, 17, 28, 22, 11, 5, 14, 27, 34], [1, 7, 18, 24, 13, 2, 8, 21, 34]]",NA,NA,NA
01,35,8,3,Partial,Tower,"[[1, 7, 29, 23, 10, 4, 12, 25, 35], [1, 7, 18, 24, 10, 4, 12, 25, 35], [1, 7, 18, 24, 13, 2, 8, 25, 35]]",NA,NA,NA
02,00,5,2,Partial,Partial,"[[2, 8, 25, 19, 6, 0], [2, 8, 21, 27, 6, 0]]",NA,NA,NA
02,01,5,1,Partial,Partial,"[[2, 13, 24, 18, 7, 1]]",3,1,SSGGG
02,03,6,2,Partial,Partial,"[[2, 13, 10, 23, 29, 16, 3], [2, 13, 24, 18, 7, 16, 3]]",NA,NA,NA
02,04,3,2,Partial,Partial,"[[2, 13, 10, 4], [2, 8, 12, 4]]",NA,NA,NA
02,05,5,1,Partial,Partial,"[[2, 8, 21, 27, 14, 5]]",3,1,SSGGG
02,06,4,2,Partial,Flat,"[[2, 8, 25, 19, 6], [2, 8, 21, 27, 6]]",NA,NA,NA
02,07,4,1,Partial,Flat,"[[2, 13, 24, 18, 7]]",1,1,GSGG
